short_name,long_name
Ablabesm,Ablabesmyia (includes Monopelopia)
Chaetocl,Chaeotocladius
Chir.ant,Chironomus anthracinus-type
Chir.plu,Chironomus plumosus-type
Cladopel,Cladopelma
Cladot  ,Cladotanytarsus mancus-type
Cory.amb,Corynocera ambigua
Cory.arc,Corynoneura arctica-type
Cory.cor,Corynoeura coronata-type
Cory.oli,Corynocera oliveri
Cric.292,Cricotopus intersectus/laricomalis-type
Cric.cyl,Cricotopus cylindraceus-type
Cric.syl,Cricotopus sylvestris-type
Cryptoch,Cryptochironomus/Demicryptochironomus
Diamesa ,Diamesa
Dicroten,Dicrotendipes
Einfeldi,Einfeldia
Endo.imp,Endochironomus impar-type
Eukieffe,Eukiefferiella spp.
Glyptote,Glyptotendipes
Hete.gri,Heterotrissocladius grimshawi-type
Hydr.lug,Hydrobaenus lugubris-type
Limnophy,Limnophyes/Paralimnophyes
Mesopsec,Psectrocladius (Mesopsectrocladius) barbatipes-type
Micr.ped,Microtendipes
Micro.pa,Microspectra pallidula-type
Micro.ra,Micropsectra radialis-type
Orth.oli,Orthocladius oliveri-type
Pagastie,Pagastiella
Para.aus,Paratanytarsus austriacus-type
Para.bat,Parakiefferiella bathophila-type
Para.pen,Paratanytarsus penicillatus-type
Paraclad,Paracladius
Paraclop,Paracladopelma
Paracric,Paracricotopus
Pogonocl,Orthocladius (Pogonocladius) consobrinus-type
Poly.nub,Polypedilum nubeculosum-type
Procladi,Procladius
Props.N ,Propsilocerus type N
Protanyp,Protanypus
Psec.sep,Psectrocladius septentrionalis-type
Psec.sor,Psectrocladius sordidellus-type
Pseudoch,Pseudochironomus
Pseudosm,Pseudosmittia
S.rosens,Stictochironomus rosenschoeldi-type
Sergenti,Sergentia coracina-type
Smittia ,Smittia
Stenochi,Stenochironomus
Symposio,Symposiocladius
T.lactes,Tanytarsus lactescens-type
Tany.gla,Tanytarsus glabrescens-type
Tany.lug,Tanytarsus lugens-type
Tany.men,Tanytarsus mendax-type
Tany.pal,Tanytarsus pallidicornis-type (includes both type 1 and 2)
