short_name,long_name
Ablabesm,Ablabesmyia (includes Monopelopia)
Chir.ant,Chironomus anthracinus-type
Chir.plu,Chironomus plumosus-type
Cladopel,Cladopelma
Cladot,Cladotanytarsus mancus-type
Cory.amb,Corynocera ambigua
Cory.cor,Corynoeura coronata-type
Cory.arc,Corynoneura arctica-type
Cory.edw,Corynoneura edwardsi-type
Coryno.A,Corynoneura type A
Cric.cyl,Cricotopus cylindraceus-type
Cric.292,Cricotopus intersectus/laricomalis-type
Cryptoch,Cryptochironomus/Demicryptochironomus
Diamesa,Diamesa
Dicroten,Dicrotendipes
Einfeldi,Einfeldia
Endo.alb,Endochironomus albipennis-type
Endo.imp,Endochironomus impar-type
Endo.ten,Endochironomus tendens-type
Glyptote,Glyptotendipes
Krenosmi,Krenosmittia
Lauterbo,Lauterborniella/Zavreliella
Limnophy,Limnophyes/Paralimnophyes
Metr.eur,Metriocnemus eurynotus-type
Microchi,Microchironomus
Micro.in,Micropsectra insignilobus/contracta-type
Micr.ped,Microtendipes
Nano.rec,Nanocladius (Nanocladius) rectinervis-type
Nano.bra,Nanocladius (Plecopterocanthus) branchicolus-type
Para.var,Parachironomus varus-type
Paraclad,Paracladius
Para.bat,Parakiefferiella bathophila-type
Parak.A,Parakiefferiella type A
Parameri,Paramerina
Para.pen,Paratanytarsus penicillatus-type
P.albima,Paratendipes albimanus-type
Para.nud,Paratendipes nudisquama-type
Phae.fla,Phaenopsectra flavipes-type
Phaen.A,Phaenopsectra type A/Tribelos
Poly.nub,Polypedilum nubeculosum-type
Poly.sor,Polypedilum sordens-type
Procladi,Procladius
Mesopsec,Psectrocladius (Mesopsectrocladius) barbatipes-type
P.psilop,Psectrocladius psilopterus-type
Psec.sor,Psectrocladius sordidellus-type
Pseudoch,Pseudochironomus
Rheotany,Rheotanytarsus
Sergenti,Sergentia coracina-type
Stempell,Stempellina-type
St.nella,Stempellinella/Zavrelia
Stenochi,Stenochironomus
S.rosens,Stictochironomus rosenschoeldi-type
Tanypus,Tanypus
Tany.chi,Tanytarsus chinyensis-type
Tany.gla,Tanytarsus glabrescens-type
T.lactes,Tanytarsus lactescens-type
Tany.lug,Tanytarsus lugens-type
Tany.men,Tanytarsus mendax-type
Tany.pal,Tanytarsus pallidicornis-type (includes both type 1 and 2)
Th.myia,Thienemannimyia-type
Xenochir,Xenochironomus
